related_name,to,relation_type,from_pais
div.,https://es.wikipedia.org/wiki/Divorcio,conyuge,Chile
Felipe,https://es.wikipedia.org/wiki/Felipe_Cubillos,hijos,Chile
Roberto García Moritán,https://es.wikipedia.org/wiki/Roberto_Garc%C3%ADa_Morit%C3%A1n_(pol%C3%ADtico,conyuge,Chile
Klemenz-Wenzel,https://es.wikipedia.org/wiki/Klemens_von_Metternich_(1869-1930,conyuge,Chile
Klemens,https://es.wikipedia.org/wiki/Klemens_von_Metternich_(1869-1930,hijos,Chile
"Klemens, príncipe de Metternich-Winneburg",https://es.wikipedia.org/wiki/Klemens_von_Metternich,conyuge,Chile
Paul,https://es.wikipedia.org/wiki/Paul_von_Metternich,conyuge,Chile
José Fernández-Villaverde,https://es.wikipedia.org/wiki/Jos%C3%A9_Fern%C3%A1ndez-Villaverde,hijos,Chile
Celeste,https://es.wikipedia.org/wiki/Celeste,hijos,Chile
 Filippo,https://es.wikipedia.org/wiki/Filippo,hijos,Chile
 Silvestre,https://es.wikipedia.org/wiki/Silvestre,hijos,Chile
Gaspar Marín,https://es.wikipedia.org/wiki/Gaspar_Mar%C3%ADn,padres,Chile
 Luisa Recabárren de Marin,https://es.wikipedia.org/wiki/Luisa_Recab%C3%A1rren_de_Marin,padres,Chile
Francisco Solano Astaburuaga Cienfuegos,https://es.wikipedia.org/wiki/Francisco_Astaburuaga_Cienfuegos,padres,Chile
 Diego Maquieira,https://es.wikipedia.org/wiki/Diego_Maquieira,hijos,Chile
Álvaro Espinoza Concha,https://es.wikipedia.org/wiki/%C3%81lvaro_Espinoza_(actor,conyuge,Chile
Álvaro Espinoza Concha,https://es.wikipedia.org/wiki/%C3%81lvaro_Espinoza_(actor,pareja,Chile
segundas nupcias,https://es.wikipedia.org/wiki/Segundas_nupcias,conyuge,Chile
Enrique de Orleans,https://es.wikipedia.org/wiki/Enrique_de_Orleans_(1933-2019,conyuge,Chile
Ambrosio Bernardo O'Higgins,https://es.wikipedia.org/wiki/Ambrosio_Bernardo_O%27Higgins,pareja,Chile
