decade,surname_1,n
1810,Aldunate,5
1810,Errázuriz,1
1810,Tristán,1
1820,Brown,6
1820,Cruz,8
1820,Errázuriz,1
1820,Pinto,3
1830,Aldunate,4
1830,Brown,4
1830,Errázuriz,7
1830,Tristán,1
1840,Echenique,1
1840,Errázuriz,4
1840,Pinto,4
1850,Echenique,1
1850,Errázuriz,6
1850,Pinto,2
1860,Aldunate,1
1860,Amunátegui,2
1860,Echaurren,6
1860,Echenique,3
1860,Errázuriz,1
1860,Pinto,2
1860,Tristán,1
1860,Zañartu,4
1870,Amunátegui,6
1870,Balmaceda,2
1870,Echaurren,5
1870,Errázuriz,6
1870,Pinto,7
1870,Zañartu,5
1880,Amunátegui,2
1880,Balmaceda,8
1880,Echaurren,6
1880,Echenique,1
1880,Errázuriz,5
1880,Tristán,8
1880,Zañartu,1
1890,Aldunate,1
1890,Cruz,3
1890,Echaurren,13
1890,Errázuriz,3
1890,Tristán,5
1900,Balmaceda,2
1900,Cruz,3
1900,Echenique,1
1900,Errázuriz,5
1910,Balmaceda,2
1910,Cruz,2
1910,Echaurren,6
1910,Echenique,1
1910,Errázuriz,3
1910,Pinto,1
1920,Balmaceda,6
1920,Errázuriz,1
1920,Pinto,1
1930,Balmaceda,1
1930,Errázuriz,1
1940,Balmaceda,1
1950,Aldunate,2
1950,Balmaceda,2
1970,Echenique,1
1980,Aldunate,1
1980,Balmaceda,1
1980,Echenique,1
1980,Errázuriz,8
1980,Piñera,1
1990,Balmaceda,1
1990,Echenique,1
1990,Errázuriz,2
1990,Piñera,5
2000,Balmaceda,1
2000,Errázuriz,4
2000,Piñera,1
2010,Errázuriz,2
2010,Piñera,6
2020,Errázuriz,1
